"","01","A","B","D","G","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","330","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2400","2495","2815","Cels"
"945",0.528,0.5,0.604,0.62,0.571,0.113,0.156,0.226,0.113,0.132,0.113,0.34,0.196,0.192,0.24,0.245,0.17,0.113,0.113,0.094,0.113,0.212,0.094,0.075,0.132,0.113,0.094,0.113,0.17,0.151,0.151,0.094,0.094,0,0.094,0.17,0.113,0.094,0.226,0.192,0.151,0.094,0.358,0.132,0.113,0.075,0.132,0.412,0.321,0.075,0.245,0.151,0.17,0.17,0.491,0.226,0.115,0.245,0.075,0.17,0.434,0.17,0.17,0.208,0.189,0.151,0.132,0.75
"999",0.509,0.481,0.585,0.6,0.592,0.057,0.133,0.226,0.094,0.113,0.094,0.321,0.176,0.173,0.24,0.226,0.113,0.094,0.094,0.075,0.132,0.173,0.113,0.057,0.113,0.094,0.075,0.094,0.094,0.151,0.151,0.075,0.075,0.094,0,0.094,0.057,0.075,0.189,0.154,0.132,0.075,0.321,0.075,0.057,0.057,0.075,0.392,0.283,0.057,0.226,0.17,0.113,0.113,0.491,0.17,0.077,0.208,0.057,0.132,0.415,0.151,0.151,0.151,0.17,0.094,0.132,0.75
"1175",0.547,0.519,0.604,0.58,0.592,0.113,0.222,0.226,0.132,0.151,0.151,0.34,0.196,0.25,0.26,0.264,0.17,0.113,0.113,0.113,0.17,0.192,0.151,0.094,0.113,0.132,0.113,0.132,0.151,0.189,0.189,0.113,0.113,0.17,0.094,0,0.113,0.113,0.245,0.212,0.17,0.113,0.377,0.113,0.113,0.094,0.17,0.451,0.358,0.094,0.245,0.208,0.17,0.132,0.528,0.226,0.096,0.245,0.094,0.075,0.434,0.17,0.189,0.208,0.208,0.189,0.17,0.875
"1241",0.509,0.5,0.585,0.58,0.571,0.038,0.156,0.208,0.075,0.094,0.075,0.302,0.157,0.192,0.26,0.208,0.094,0.075,0.075,0.057,0.113,0.135,0.094,0.038,0.094,0.075,0.057,0.075,0.113,0.132,0.132,0.057,0.057,0.113,0.057,0.113,0,0.057,0.208,0.135,0.151,0.057,0.34,0.094,0.038,0.038,0.094,0.412,0.302,0.038,0.208,0.151,0.094,0.094,0.509,0.151,0.058,0.189,0.038,0.113,0.396,0.132,0.113,0.132,0.151,0.113,0.113,0.875
"1242",0.528,0.5,0.547,0.56,0.551,0.057,0.156,0.151,0.057,0.075,0.094,0.283,0.176,0.173,0.26,0.208,0.113,0.057,0.057,0.038,0.094,0.154,0.075,0.019,0.075,0.057,0.038,0.057,0.132,0.113,0.113,0.038,0.038,0.094,0.075,0.113,0.057,0,0.208,0.154,0.094,0.038,0.302,0.075,0.057,0.019,0.113,0.373,0.264,0.019,0.208,0.094,0.113,0.113,0.491,0.132,0.058,0.189,0.019,0.113,0.377,0.151,0.113,0.151,0.132,0.132,0.094,0.75
"1243",0.491,0.481,0.566,0.54,0.551,0.208,0.2,0.321,0.226,0.208,0.208,0.415,0.314,0.231,0.3,0.264,0.208,0.226,0.226,0.189,0.226,0.288,0.245,0.189,0.17,0.208,0.17,0.189,0.226,0.208,0.264,0.17,0.208,0.226,0.189,0.245,0.208,0.208,0,0.212,0.245,0.189,0.377,0.208,0.17,0.189,0.189,0.353,0.377,0.189,0.283,0.208,0.226,0.189,0.472,0.283,0.173,0.302,0.189,0.226,0.434,0.245,0.208,0.245,0.264,0.208,0.17,0.625
"1245",0.538,0.51,0.577,0.58,0.583,0.135,0.205,0.288,0.173,0.154,0.135,0.404,0.24,0.235,0.327,0.231,0.154,0.173,0.173,0.154,0.154,0.255,0.192,0.135,0.115,0.135,0.115,0.135,0.135,0.115,0.192,0.115,0.154,0.192,0.154,0.212,0.135,0.154,0.212,0,0.212,0.115,0.404,0.154,0.096,0.135,0.192,0.46,0.327,0.135,0.269,0.173,0.173,0.115,0.558,0.212,0.157,0.288,0.135,0.212,0.442,0.192,0.154,0.192,0.212,0.212,0.096,0.625
"1270",0.547,0.5,0.547,0.62,0.612,0.151,0.2,0.189,0.151,0.132,0.113,0.321,0.275,0.269,0.3,0.208,0.208,0.151,0.151,0.132,0.151,0.25,0.132,0.113,0.132,0.151,0.094,0.113,0.189,0.17,0.17,0.094,0.132,0.151,0.132,0.17,0.151,0.094,0.245,0.212,0,0.132,0.396,0.094,0.113,0.113,0.208,0.353,0.358,0.113,0.302,0.113,0.208,0.17,0.528,0.226,0.154,0.245,0.113,0.208,0.434,0.17,0.17,0.245,0.189,0.226,0.151,0.75
"1315",0.528,0.5,0.585,0.58,0.571,0.057,0.178,0.189,0.057,0.075,0.094,0.302,0.176,0.173,0.26,0.208,0.113,0.057,0.057,0.038,0.094,0.154,0.075,0.019,0.075,0.019,0.038,0.057,0.113,0.113,0.113,0.038,0.038,0.094,0.075,0.113,0.057,0.038,0.189,0.115,0.132,0,0.34,0.075,0.057,0.019,0.113,0.412,0.302,0.019,0.208,0.132,0.094,0.113,0.509,0.17,0.058,0.189,0.019,0.113,0.396,0.151,0.113,0.151,0.132,0.132,0.094,0.75
"1319",0.358,0.346,0.434,0.44,0.469,0.34,0.356,0.415,0.34,0.34,0.358,0.321,0.353,0.308,0.26,0.302,0.358,0.358,0.358,0.302,0.358,0.269,0.302,0.321,0.34,0.358,0.34,0.358,0.415,0.377,0.358,0.34,0.34,0.358,0.321,0.377,0.34,0.302,0.377,0.404,0.396,0.34,0,0.377,0.34,0.321,0.302,0.216,0.094,0.321,0.396,0.321,0.34,0.358,0.34,0.264,0.327,0.302,0.321,0.377,0.358,0.415,0.34,0.302,0.34,0.302,0.358,0.5
