"","P46","01","A","B","C","D","F","G","K","L","044","056","075","1","6","33","69","88","104","131","205","209","226","323","330","440","460","489","517","547","614","618","796","910","927","945","999","1175","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1891","1982","2125","2147","2344","2400","2412","2464","2495","2815","arm","eth","slav","cop-sa","cop-bo","it-ar","it-b","it-d","it-f","it-g","it-o","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"it-ar",0.679,0.581,0.533,0.548,0.481,0.484,0.452,0.484,0.516,0.484,0.548,0.484,0.581,0.484,0.645,0.613,0.548,0.581,0.581,0.452,0.484,0.484,0.452,0.484,0.581,0.484,0.516,0.548,0.484,0.452,0.548,0.548,0.452,0.516,0.548,0.433,0.548,0.548,0.452,0.548,0.452,0.548,0.484,0.5,0.516,0.516,0.452,0.645,0.484,0.613,0.516,0.484,0.484,0.516,0.548,0.419,0.516,0.548,0.452,0.548,0.484,0.484,0.484,0.645,0.421,0.548,0.548,0.613,0.581,0.452,0.462,0.476,0.379,0.5,0.481,0,0.357,0.433,0.226,0.323,0.2,0.5,0.364,0.643,0.258,0.233,0.29,0.655,0.448
"it-b",0.643,0.571,0.556,0.643,0.542,0.5,0.536,0.5,0.643,0.643,0.714,0.643,0.714,0.607,0.643,0.679,0.679,0.607,0.679,0.571,0.607,0.607,0.607,0.607,0.679,0.607,0.643,0.571,0.607,0.607,0.679,0.643,0.607,0.643,0.571,0.593,0.643,0.643,0.607,0.643,0.607,0.607,0.607,0.63,0.643,0.643,0.607,0.714,0.571,0.714,0.607,0.607,0.679,0.607,0.536,0.571,0.607,0.607,0.607,0.643,0.607,0.607,0.607,0.679,0.444,0.714,0.679,0.714,0.643,0.607,0.692,0.714,0.577,0.75,0.583,0.357,0,0.333,0.464,0.143,0.185,0.636,0.591,0.643,0.5,0.481,0.536,0.731,0.615
"it-d",0.63,0.633,0.69,0.533,0.692,0.333,0.533,0.5,0.667,0.667,0.733,0.733,0.767,0.667,0.633,0.633,0.7,0.567,0.7,0.667,0.667,0.667,0.667,0.667,0.733,0.633,0.7,0.633,0.633,0.667,0.7,0.733,0.633,0.7,0.633,0.621,0.7,0.667,0.633,0.667,0.633,0.633,0.633,0.655,0.667,0.7,0.667,0.767,0.633,0.767,0.667,0.633,0.667,0.667,0.567,0.6,0.7,0.7,0.633,0.733,0.667,0.633,0.7,0.8,0.611,0.767,0.7,0.733,0.7,0.633,0.68,0.6,0.643,0.56,0.593,0.433,0.333,0,0.433,0.233,0.379,0.714,0.619,0.692,0.467,0.448,0.5,0.786,0.679
"it-f",0.571,0.419,0.433,0.323,0.407,0.484,0.452,0.484,0.548,0.516,0.484,0.581,0.645,0.516,0.452,0.484,0.548,0.516,0.581,0.548,0.516,0.516,0.484,0.484,0.548,0.516,0.548,0.548,0.516,0.516,0.581,0.548,0.484,0.581,0.548,0.467,0.613,0.516,0.484,0.581,0.484,0.581,0.516,0.567,0.548,0.581,0.516,0.581,0.581,0.548,0.516,0.516,0.516,0.516,0.323,0.452,0.613,0.613,0.484,0.613,0.548,0.516,0.581,0.645,0.526,0.484,0.581,0.581,0.516,0.484,0.462,0.381,0.379,0.385,0.259,0.226,0.464,0.433,0,0.29,0.267,0.409,0.455,0.571,0.032,0,0.065,0.517,0.414
"it-g",0.571,0.516,0.567,0.452,0.519,0.419,0.355,0.323,0.645,0.645,0.677,0.71,0.71,0.645,0.581,0.548,0.677,0.548,0.677,0.645,0.645,0.645,0.613,0.613,0.677,0.613,0.645,0.581,0.613,0.645,0.677,0.645,0.613,0.677,0.581,0.6,0.677,0.613,0.613,0.645,0.613,0.613,0.613,0.633,0.645,0.677,0.645,0.677,0.613,0.677,0.613,0.613,0.645,0.613,0.452,0.581,0.677,0.677,0.613,0.71,0.645,0.613,0.677,0.742,0.526,0.677,0.677,0.71,0.613,0.613,0.654,0.571,0.586,0.538,0.481,0.323,0.143,0.233,0.29,0,0.2,0.591,0.591,0.643,0.323,0.3,0.355,0.655,0.655
"it-o",0.667,0.467,0.483,0.533,0.462,0.433,0.467,0.467,0.567,0.567,0.633,0.6,0.633,0.567,0.633,0.6,0.6,0.6,0.6,0.533,0.567,0.567,0.533,0.533,0.6,0.567,0.567,0.567,0.533,0.5,0.6,0.567,0.533,0.533,0.567,0.517,0.567,0.6,0.533,0.6,0.533,0.6,0.533,0.552,0.567,0.533,0.5,0.667,0.567,0.667,0.567,0.533,0.6,0.533,0.5,0.5,0.6,0.567,0.533,0.567,0.5,0.533,0.567,0.633,0.389,0.6,0.6,0.667,0.6,0.533,0.56,0.55,0.464,0.64,0.423,0.2,0.185,0.379,0.267,0.2,0,0.524,0.429,0.571,0.3,0.276,0.333,0.571,0.464
"syr-p",0.636,0.636,0.571,0.545,0.474,0.591,0.682,0.682,0.318,0.318,0.364,0.409,0.318,0.318,0.318,0.545,0.364,0.318,0.409,0.364,0.318,0.318,0.318,0.318,0.5,0.364,0.318,0.364,0.318,0.364,0.364,0.318,0.318,0.409,0.318,0.333,0.455,0.545,0.318,0.409,0.364,0.364,0.364,0.524,0.364,0.364,0.364,0.182,0.5,0.182,0.318,0.318,0.364,0.318,0.5,0.364,0.455,0.318,0.318,0.455,0.364,0.318,0.364,0.409,0.333,0.364,0.364,0.409,0.227,0.318,0.286,0.412,0.333,0.571,0.381,0.5,0.636,0.714,0.409,0.591,0.524,0,0.273,0.571,0.364,0.381,0.364,0.5,0.409
"syr-h",0.682,0.591,0.476,0.682,0.368,0.5,0.727,0.727,0.136,0.136,0.364,0.227,0.273,0.136,0.273,0.591,0.273,0.318,0.364,0.182,0.136,0.136,0.182,0.136,0.364,0.182,0.182,0.182,0.136,0.182,0.182,0.182,0.136,0.227,0.136,0.143,0.273,0.409,0.136,0.227,0.182,0.182,0.182,0.333,0.182,0.182,0.182,0.227,0.318,0.227,0.136,0.136,0.182,0.136,0.455,0.182,0.273,0.136,0.136,0.273,0.182,0.136,0.182,0.227,0.4,0.273,0.182,0.409,0.182,0.136,0.238,0.353,0.143,0.429,0.333,0.364,0.591,0.619,0.455,0.591,0.429,0.273,0,0.5,0.409,0.429,0.409,0.591,0.318
"syr-pal",0.571,0.429,0.385,0.429,0.455,0.643,0.786,0.786,0.429,0.429,0.429,0.5,0.357,0.429,0.429,0.5,0.357,0.5,0.429,0.5,0.429,0.429,0.5,0.429,0.357,0.429,0.5,0.5,0.429,0.5,0.429,0.429,0.429,0.5,0.5,0.429,0.5,0.214,0.429,0.429,0.357,0.357,0.357,0.286,0.429,0.5,0.5,0.5,0.357,0.5,0.5,0.429,0.5,0.357,0.286,0.357,0.5,0.571,0.429,0.5,0.5,0.429,0.5,0.5,0.6,0.5,0.429,0.5,0.571,0.429,0.385,0.545,0.231,0.308,0.308,0.643,0.643,0.692,0.571,0.643,0.571,0.571,0.5,0,0.571,0.571,0.643,0.429,0.429
"vg-ww",0.571,0.387,0.4,0.29,0.37,0.484,0.484,0.516,0.516,0.484,0.452,0.548,0.613,0.484,0.419,0.452,0.516,0.484,0.548,0.516,0.484,0.484,0.452,0.452,0.516,0.484,0.516,0.516,0.484,0.484,0.548,0.516,0.452,0.548,0.516,0.433,0.581,0.484,0.452,0.548,0.452,0.548,0.484,0.533,0.516,0.548,0.484,0.548,0.548,0.516,0.484,0.484,0.484,0.484,0.29,0.419,0.581,0.581,0.452,0.613,0.516,0.484,0.548,0.613,0.526,0.452,0.548,0.548,0.484,0.452,0.423,0.333,0.345,0.346,0.222,0.258,0.5,0.467,0.032,0.323,0.3,0.364,0.409,0.571,0,0,0.065,0.483,0.448
"vg-st",0.556,0.4,0.414,0.3,0.385,0.467,0.467,0.5,0.533,0.5,0.467,0.567,0.633,0.5,0.433,0.467,0.533,0.5,0.567,0.533,0.5,0.5,0.467,0.467,0.533,0.5,0.533,0.533,0.5,0.5,0.567,0.533,0.467,0.567,0.533,0.448,0.6,0.5,0.467,0.567,0.467,0.567,0.5,0.552,0.533,0.567,0.5,0.567,0.567,0.533,0.5,0.5,0.5,0.5,0.3,0.433,0.6,0.6,0.467,0.6,0.533,0.5,0.567,0.633,0.526,0.467,0.567,0.567,0.5,0.467,0.44,0.35,0.357,0.36,0.231,0.233,0.481,0.448,0,0.3,0.276,0.381,0.429,0.571,0,0,0.033,0.5,0.429
"vg-cl",0.607,0.452,0.467,0.355,0.444,0.484,0.516,0.548,0.516,0.484,0.452,0.548,0.613,0.484,0.419,0.452,0.516,0.484,0.613,0.516,0.484,0.484,0.452,0.452,0.516,0.484,0.516,0.516,0.484,0.484,0.548,0.516,0.452,0.548,0.516,0.433,0.581,0.548,0.452,0.548,0.516,0.548,0.548,0.533,0.516,0.548,0.484,0.548,0.548,0.516,0.484,0.484,0.484,0.484,0.355,0.484,0.613,0.581,0.452,0.581,0.516,0.484,0.548,0.613,0.579,0.452,0.548,0.548,0.484,0.452,0.5,0.381,0.414,0.423,0.296,0.29,0.536,0.5,0.065,0.355,0.333,0.364,0.409,0.643,0.065,0.033,0,0.552,0.483
"geo-1",0.615,0.345,0.5,0.414,0.36,0.69,0.724,0.724,0.517,0.552,0.414,0.552,0.414,0.586,0.483,0.379,0.552,0.483,0.483,0.517,0.586,0.586,0.586,0.552,0.517,0.586,0.552,0.552,0.517,0.517,0.483,0.552,0.552,0.483,0.552,0.571,0.517,0.517,0.552,0.552,0.552,0.552,0.483,0.5,0.517,0.483,0.552,0.483,0.517,0.517,0.586,0.517,0.517,0.517,0.379,0.517,0.552,0.552,0.552,0.552,0.448,0.517,0.517,0.552,0.556,0.552,0.483,0.414,0.586,0.552,0.36,0.368,0.429,0.423,0.333,0.655,0.731,0.786,0.517,0.655,0.571,0.5,0.591,0.429,0.483,0.5,0.552,0,0.345
"geo-2",0.692,0.483,0.393,0.621,0.4,0.586,0.759,0.759,0.241,0.276,0.379,0.31,0.345,0.31,0.31,0.586,0.345,0.31,0.276,0.241,0.31,0.31,0.31,0.379,0.414,0.31,0.276,0.31,0.241,0.241,0.276,0.31,0.276,0.241,0.31,0.321,0.276,0.345,0.276,0.31,0.276,0.276,0.207,0.357,0.276,0.207,0.276,0.379,0.345,0.414,0.345,0.241,0.31,0.276,0.379,0.241,0.276,0.31,0.276,0.276,0.172,0.241,0.241,0.31,0.333,0.379,0.276,0.31,0.414,0.276,0.16,0.526,0.25,0.5,0.37,0.448,0.615,0.679,0.414,0.655,0.464,0.409,0.318,0.429,0.448,0.429,0.483,0.345,0
