"","P46","01","B","D","F","G","044","075","0150","0243","6","33","81","104","256","263","365","424","424-c","436","459","1175","1241","1573","1739","1852","1881","1912","1962","2127","2200","2464","K","L","P","it-ar","it-b","it-d","it-f","it-g","it-o","vg","syr-h","cop-sa","cop-bo","arm","slav"
"K",0.727,0.622,0.692,0.538,0.59,0.564,0.205,0.118,0.184,0.553,0.308,0.632,0.487,0.359,0.333,0.184,0.282,0.103,0.889,0.385,0.308,0.553,0.154,0.333,0.564,0.205,0.41,0.256,0.368,0.308,0.316,0.297,0,0.205,0.231,0.59,0.6,0.605,0.513,0.641,0.564,0.556,0.312,0.618,0.583,0.432,0.308
"L",0.697,0.676,0.59,0.436,0.513,0.487,0.282,0.206,0.263,0.553,0.256,0.605,0.41,0.256,0.256,0.158,0.205,0.154,0.778,0.282,0.205,0.474,0.154,0.308,0.564,0.154,0.41,0.205,0.395,0.282,0.368,0.216,0.205,0,0.154,0.59,0.571,0.526,0.487,0.564,0.538,0.528,0.25,0.618,0.5,0.378,0.231
"P",0.667,0.541,0.513,0.564,0.615,0.59,0.231,0.265,0.158,0.447,0.282,0.5,0.333,0.256,0.154,0.132,0.103,0.231,0.556,0.282,0.205,0.395,0.231,0.205,0.462,0.231,0.333,0.282,0.289,0.179,0.342,0.189,0.231,0.154,0,0.615,0.6,0.605,0.538,0.615,0.487,0.528,0.344,0.5,0.389,0.324,0.282
"it-ar",0.676,0.684,0.575,0.425,0.475,0.475,0.55,0.543,0.538,0.641,0.575,0.667,0.5,0.55,0.55,0.59,0.5,0.575,0.778,0.575,0.575,0.615,0.55,0.55,0.65,0.55,0.575,0.6,0.564,0.525,0.641,0.632,0.59,0.59,0.615,0,0.222,0.256,0.325,0.425,0.2,0.297,0.545,0.486,0.649,0.658,0.513
"it-b",0.613,0.529,0.556,0.417,0.389,0.389,0.5,0.516,0.571,0.6,0.5,0.514,0.528,0.528,0.583,0.571,0.528,0.583,0.667,0.556,0.556,0.657,0.528,0.583,0.583,0.472,0.528,0.611,0.629,0.556,0.629,0.559,0.6,0.571,0.6,0.222,0,0.194,0.278,0.361,0.278,0.273,0.5,0.469,0.636,0.6,0.514
"it-d",0.545,0.568,0.59,0.256,0.41,0.41,0.513,0.588,0.605,0.579,0.538,0.579,0.564,0.538,0.615,0.632,0.564,0.59,0.444,0.59,0.564,0.632,0.564,0.667,0.564,0.487,0.538,0.59,0.605,0.59,0.684,0.568,0.605,0.526,0.605,0.256,0.194,0,0.359,0.308,0.308,0.361,0.515,0.441,0.611,0.676,0.579
"it-f",0.647,0.447,0.6,0.5,0.375,0.375,0.5,0.514,0.564,0.462,0.55,0.564,0.5,0.6,0.45,0.487,0.45,0.475,0.556,0.525,0.575,0.487,0.475,0.45,0.475,0.475,0.475,0.575,0.487,0.45,0.59,0.5,0.513,0.487,0.538,0.325,0.278,0.359,0,0.375,0.4,0.135,0.576,0.429,0.459,0.526,0.385
"it-g",0.529,0.447,0.625,0.375,0.2,0.2,0.575,0.571,0.538,0.564,0.6,0.538,0.525,0.575,0.6,0.615,0.625,0.625,0.556,0.625,0.575,0.615,0.6,0.6,0.525,0.6,0.625,0.675,0.564,0.575,0.667,0.605,0.641,0.564,0.615,0.425,0.361,0.308,0.375,0,0.35,0.486,0.485,0.514,0.432,0.553,0.564
"it-o",0.529,0.605,0.55,0.425,0.425,0.475,0.475,0.514,0.41,0.615,0.55,0.615,0.5,0.5,0.55,0.513,0.5,0.525,0.778,0.525,0.475,0.615,0.475,0.55,0.625,0.575,0.575,0.55,0.538,0.525,0.59,0.553,0.564,0.538,0.487,0.2,0.278,0.308,0.4,0.35,0,0.405,0.545,0.457,0.568,0.553,0.513
"vg",0.581,0.514,0.541,0.514,0.514,0.514,0.459,0.531,0.568,0.459,0.568,0.5,0.486,0.595,0.432,0.5,0.432,0.514,0.625,0.514,0.568,0.459,0.514,0.432,0.459,0.514,0.486,0.568,0.5,0.432,0.556,0.528,0.556,0.528,0.528,0.297,0.273,0.361,0.135,0.486,0.405,0,0.567,0.344,0.529,0.486,0.417
"syr-h",0.593,0.613,0.667,0.515,0.515,0.455,0.303,0.25,0.281,0.5,0.273,0.531,0.545,0.333,0.455,0.312,0.424,0.273,0.875,0.424,0.333,0.531,0.242,0.424,0.455,0.182,0.455,0.394,0.469,0.424,0.281,0.452,0.312,0.25,0.344,0.545,0.5,0.515,0.576,0.485,0.545,0.567,0,0.6,0.562,0.387,0.406
"cop-sa",0.31,0.353,0.314,0.543,0.514,0.514,0.486,0.581,0.5,0.353,0.514,0.324,0.4,0.486,0.4,0.588,0.4,0.6,0.333,0.457,0.429,0.324,0.629,0.429,0.343,0.686,0.429,0.6,0.294,0.4,0.5,0.515,0.618,0.618,0.5,0.486,0.469,0.441,0.429,0.514,0.457,0.344,0.6,0,0.235,0.394,0.471
"cop-bo",0.484,0.314,0.378,0.622,0.486,0.486,0.459,0.562,0.472,0.417,0.568,0.417,0.351,0.486,0.324,0.472,0.378,0.541,0.333,0.459,0.432,0.361,0.568,0.351,0.378,0.568,0.432,0.568,0.278,0.378,0.556,0.429,0.583,0.5,0.389,0.649,0.636,0.611,0.459,0.432,0.568,0.529,0.562,0.235,0,0.429,0.389
"arm",0.606,0.611,0.579,0.632,0.605,0.605,0.342,0.424,0.324,0.486,0.395,0.568,0.526,0.421,0.395,0.351,0.368,0.395,0.75,0.395,0.368,0.459,0.395,0.342,0.474,0.447,0.5,0.5,0.432,0.368,0.351,0.333,0.432,0.378,0.324,0.658,0.6,0.676,0.526,0.553,0.553,0.486,0.387,0.394,0.429,0,0.324
"slav",0.727,0.622,0.641,0.615,0.564,0.59,0.333,0.265,0.289,0.5,0.333,0.579,0.436,0.333,0.282,0.211,0.231,0.205,1,0.282,0.282,0.421,0.179,0.231,0.513,0.256,0.385,0.282,0.395,0.308,0.342,0.297,0.308,0.231,0.282,0.513,0.514,0.579,0.385,0.564,0.513,0.417,0.406,0.471,0.389,0.324,0
