"","01","A","B","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","RomFragD"
"489",0.547,0.519,0.604,0.6,0.667,0.592,0.089,0.075,0.2,0.208,0.075,0.094,0.113,0.283,0.196,0.192,0.24,0.226,0.132,0.038,0.038,0.057,0.113,0.208,0.173,0.302,0.094,0.038,0.094,0,0.057,0.038,0.132,0.132,0.132,0.057,0.019,0.113,0.094,0.132,0.075,0.057,0.208,0.135,0.151,0.019,0.358,0.094,0.075,0.038,0.132,0.431,0.321,0.038,0.208,0.151,0.113,0.132,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.17,0.132,0.132,0.159,0.151,0.07,0.174,0.151,0.113,0.591
"517",0.528,0.5,0.585,0.6,0.667,0.592,0.111,0.057,0.178,0.189,0.057,0.038,0.057,0.302,0.176,0.173,0.26,0.17,0.113,0.057,0.057,0.038,0.057,0.188,0.154,0.279,0.075,0.019,0.038,0.057,0,0.019,0.132,0.075,0.113,0,0.038,0.094,0.075,0.113,0.057,0.038,0.17,0.115,0.094,0.038,0.34,0.038,0.019,0.019,0.113,0.392,0.302,0.019,0.208,0.094,0.113,0.075,0.509,0.17,0.058,0.189,0.019,0.113,0.396,0.113,0.075,0.151,0.136,0.094,0.047,0.174,0.132,0.057,0.568
"547",0.547,0.519,0.604,0.62,0.667,0.612,0.089,0.075,0.2,0.208,0.075,0.057,0.075,0.283,0.196,0.192,0.24,0.189,0.132,0.038,0.038,0.057,0.075,0.208,0.173,0.302,0.094,0.038,0.057,0.038,0.019,0,0.151,0.094,0.132,0.019,0.019,0.113,0.094,0.132,0.075,0.057,0.189,0.135,0.113,0.057,0.358,0.057,0.038,0.038,0.132,0.412,0.321,0.038,0.208,0.113,0.132,0.094,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.132,0.094,0.132,0.159,0.113,0.07,0.174,0.151,0.075,0.591
"614",0.547,0.519,0.604,0.58,0.6,0.571,0.156,0.113,0.178,0.208,0.151,0.17,0.151,0.377,0.216,0.25,0.32,0.283,0.17,0.151,0.151,0.132,0.17,0.271,0.231,0.349,0.17,0.113,0.17,0.132,0.132,0.151,0,0.17,0.17,0.132,0.132,0.17,0.094,0.151,0.113,0.132,0.226,0.135,0.189,0.113,0.415,0.132,0.113,0.113,0.17,0.451,0.377,0.113,0.245,0.226,0.151,0.17,0.528,0.226,0.135,0.264,0.113,0.189,0.415,0.208,0.208,0.208,0.205,0.226,0.093,0.196,0.189,0.151,0.568
"618",0.566,0.538,0.623,0.6,0.7,0.612,0.156,0.113,0.2,0.264,0.094,0.113,0.132,0.358,0.235,0.212,0.3,0.208,0.113,0.132,0.132,0.113,0.113,0.25,0.231,0.302,0.151,0.094,0.075,0.132,0.075,0.094,0.17,0,0.151,0.075,0.113,0.151,0.151,0.189,0.132,0.113,0.208,0.115,0.17,0.113,0.377,0.113,0.094,0.094,0.189,0.431,0.34,0.094,0.245,0.132,0.189,0.075,0.528,0.208,0.135,0.264,0.094,0.189,0.377,0.151,0.075,0.189,0.182,0.151,0.093,0.217,0.208,0.057,0.614
"796",0.491,0.5,0.547,0.58,0.667,0.592,0.156,0.132,0.156,0.189,0.113,0.113,0.151,0.321,0.176,0.25,0.26,0.245,0.17,0.132,0.132,0.113,0.132,0.208,0.173,0.279,0.094,0.094,0.151,0.132,0.113,0.132,0.17,0.151,0,0.113,0.113,0.151,0.151,0.189,0.132,0.113,0.264,0.192,0.17,0.113,0.358,0.151,0.132,0.094,0.189,0.392,0.321,0.094,0.189,0.189,0.189,0.189,0.491,0.17,0.135,0.208,0.094,0.151,0.396,0.226,0.189,0.17,0.182,0.151,0.116,0.239,0.208,0.132,0.523
"910",0.528,0.5,0.585,0.6,0.667,0.592,0.111,0.057,0.178,0.189,0.057,0.038,0.057,0.302,0.176,0.173,0.26,0.17,0.113,0.057,0.057,0.038,0.057,0.188,0.154,0.279,0.075,0.019,0.038,0.057,0,0.019,0.132,0.075,0.113,0,0.038,0.094,0.075,0.113,0.057,0.038,0.17,0.115,0.094,0.038,0.34,0.038,0.019,0.019,0.113,0.392,0.302,0.019,0.208,0.094,0.113,0.075,0.509,0.17,0.058,0.189,0.019,0.113,0.396,0.113,0.075,0.151,0.136,0.094,0.047,0.174,0.132,0.057,0.568
"927",0.528,0.5,0.585,0.6,0.667,0.592,0.067,0.057,0.178,0.189,0.057,0.075,0.094,0.264,0.176,0.173,0.22,0.208,0.113,0.019,0.019,0.038,0.094,0.188,0.154,0.279,0.075,0.019,0.075,0.019,0.038,0.019,0.132,0.113,0.113,0.038,0,0.094,0.075,0.113,0.057,0.038,0.208,0.154,0.132,0.038,0.34,0.075,0.057,0.019,0.113,0.412,0.302,0.019,0.189,0.132,0.113,0.113,0.509,0.132,0.058,0.189,0.019,0.113,0.377,0.151,0.113,0.113,0.136,0.132,0.047,0.152,0.132,0.094,0.568
"945",0.528,0.5,0.604,0.62,0.633,0.571,0.178,0.113,0.156,0.226,0.113,0.132,0.113,0.34,0.196,0.192,0.24,0.245,0.17,0.113,0.113,0.094,0.113,0.25,0.212,0.302,0.094,0.075,0.132,0.113,0.094,0.113,0.17,0.151,0.151,0.094,0.094,0,0.094,0.17,0.113,0.094,0.226,0.192,0.151,0.094,0.358,0.132,0.113,0.075,0.132,0.412,0.321,0.075,0.245,0.151,0.17,0.17,0.491,0.226,0.115,0.245,0.075,0.17,0.434,0.17,0.17,0.208,0.182,0.189,0.116,0.239,0.151,0.132,0.568
"999",0.509,0.481,0.585,0.6,0.667,0.592,0.111,0.057,0.133,0.226,0.094,0.113,0.094,0.321,0.176,0.173,0.24,0.226,0.113,0.094,0.094,0.075,0.132,0.208,0.173,0.256,0.113,0.057,0.113,0.094,0.075,0.094,0.094,0.151,0.151,0.075,0.075,0.094,0,0.094,0.057,0.075,0.189,0.154,0.132,0.075,0.321,0.075,0.057,0.057,0.075,0.392,0.283,0.057,0.226,0.17,0.113,0.113,0.491,0.17,0.077,0.208,0.057,0.132,0.415,0.151,0.151,0.151,0.136,0.17,0.047,0.174,0.094,0.132,0.568
"1175",0.547,0.519,0.604,0.58,0.667,0.592,0.178,0.113,0.222,0.226,0.132,0.151,0.151,0.34,0.196,0.25,0.26,0.264,0.17,0.113,0.113,0.113,0.17,0.229,0.192,0.326,0.151,0.094,0.113,0.132,0.113,0.132,0.151,0.189,0.189,0.113,0.113,0.17,0.094,0,0.113,0.113,0.245,0.212,0.17,0.113,0.377,0.113,0.113,0.094,0.17,0.451,0.358,0.094,0.245,0.208,0.17,0.132,0.528,0.226,0.096,0.245,0.094,0.075,0.434,0.17,0.189,0.208,0.205,0.208,0.093,0.239,0.189,0.17,0.591
"1241",0.509,0.5,0.585,0.58,0.667,0.571,0.089,0.038,0.156,0.208,0.075,0.094,0.075,0.302,0.157,0.192,0.26,0.208,0.094,0.075,0.075,0.057,0.113,0.188,0.135,0.256,0.094,0.038,0.094,0.075,0.057,0.075,0.113,0.132,0.132,0.057,0.057,0.113,0.057,0.113,0,0.057,0.208,0.135,0.151,0.057,0.34,0.094,0.038,0.038,0.094,0.412,0.302,0.038,0.208,0.151,0.094,0.094,0.509,0.151,0.058,0.189,0.038,0.113,0.396,0.132,0.113,0.132,0.091,0.151,0.023,0.152,0.113,0.113,0.545
"1242",0.528,0.5,0.547,0.56,0.667,0.551,0.111,0.057,0.156,0.151,0.057,0.075,0.094,0.283,0.176,0.173,0.26,0.208,0.113,0.057,0.057,0.038,0.094,0.188,0.154,0.233,0.075,0.019,0.075,0.057,0.038,0.057,0.132,0.113,0.113,0.038,0.038,0.094,0.075,0.113,0.057,0,0.208,0.154,0.094,0.038,0.302,0.075,0.057,0.019,0.113,0.373,0.264,0.019,0.208,0.094,0.113,0.113,0.491,0.132,0.058,0.189,0.019,0.113,0.377,0.151,0.113,0.151,0.091,0.132,0.047,0.13,0.132,0.094,0.545
"1243",0.491,0.481,0.566,0.54,0.667,0.551,0.222,0.208,0.2,0.321,0.226,0.208,0.208,0.415,0.314,0.231,0.3,0.264,0.208,0.226,0.226,0.189,0.226,0.312,0.288,0.326,0.245,0.189,0.17,0.208,0.17,0.189,0.226,0.208,0.264,0.17,0.208,0.226,0.189,0.245,0.208,0.208,0,0.212,0.245,0.189,0.377,0.208,0.17,0.189,0.189,0.353,0.377,0.189,0.283,0.208,0.226,0.189,0.472,0.283,0.173,0.302,0.189,0.226,0.434,0.245,0.208,0.245,0.273,0.264,0.186,0.304,0.208,0.17,0.568
